2026-06-11 15:39:26.292 +05:30 [INF] ApiGateway | Starting API Gateway...
2026-06-11 15:39:33.709 +05:30 [INF] ApiGateway | API Gateway started successfully on port 5000
2026-06-11 15:39:36.950 +05:30 [INF] ApiGateway | Now listening on: http://localhost:5000
2026-06-11 15:39:37.626 +05:30 [INF] ApiGateway | Application started. Press Ctrl+C to shut down.
2026-06-11 15:39:37.663 +05:30 [INF] ApiGateway | Hosting environment: Development
2026-06-11 15:39:37.667 +05:30 [INF] ApiGateway | Content root path: C:\Users\2492212\OneDrive - Cognizant\Desktop\sddr\fincl\ApiGateway
2026-06-11 16:14:54.892 +05:30 [DBG] ApiGateway | requestId: 0HNM7KPSITGJU:00000002, previousRequestId: No PreviousRequestId, message: 'ocelot pipeline started'
2026-06-11 16:14:54.914 +05:30 [DBG] ApiGateway | requestId: 0HNM7KPSITGJU:00000002, previousRequestId: No PreviousRequestId, message: 'Upstream url path is /api/Auth/login'
2026-06-11 16:14:54.963 +05:30 [DBG] ApiGateway | requestId: 0HNM7KPSITGJU:00000002, previousRequestId: No PreviousRequestId, message: 'downstream templates are /api/auth/{everything}'
2026-06-11 16:14:55.001 +05:30 [INF] ApiGateway | requestId: 0HNM7KPSITGJU:00000002, previousRequestId: No PreviousRequestId, message: 'EndpointRateLimiting is not enabled for /api/auth/{everything}'
2026-06-11 16:14:55.008 +05:30 [INF] ApiGateway | requestId: 0HNM7KPSITGJU:00000002, previousRequestId: No PreviousRequestId, message: 'No authentication needed for path '/api/Auth/login'.'
2026-06-11 16:14:55.015 +05:30 [INF] ApiGateway | requestId: 0HNM7KPSITGJU:00000002, previousRequestId: No PreviousRequestId, message: '/api/auth/{everything} route does not require user to be authorized'
2026-06-11 16:14:55.037 +05:30 [DBG] ApiGateway | requestId: 0HNM7KPSITGJU:00000002, previousRequestId: No PreviousRequestId, message: 'Downstream url is http://localhost:5001/api/auth/login'
2026-06-11 16:14:58.148 +05:30 [DBG] ApiGateway | requestId: 0HNM7KPSITGJV:00000001, previousRequestId: No PreviousRequestId, message: 'ocelot pipeline started'
2026-06-11 16:14:58.151 +05:30 [DBG] ApiGateway | requestId: 0HNM7KPSITGJV:00000001, previousRequestId: No PreviousRequestId, message: 'Upstream url path is /api/Auth/login'
2026-06-11 16:14:58.154 +05:30 [DBG] ApiGateway | requestId: 0HNM7KPSITGJV:00000001, previousRequestId: No PreviousRequestId, message: 'downstream templates are /api/auth/{everything}'
2026-06-11 16:14:58.156 +05:30 [INF] ApiGateway | requestId: 0HNM7KPSITGJV:00000001, previousRequestId: No PreviousRequestId, message: 'EndpointRateLimiting is not enabled for /api/auth/{everything}'
2026-06-11 16:14:58.159 +05:30 [INF] ApiGateway | requestId: 0HNM7KPSITGJV:00000001, previousRequestId: No PreviousRequestId, message: 'No authentication needed for path '/api/Auth/login'.'
2026-06-11 16:14:58.161 +05:30 [INF] ApiGateway | requestId: 0HNM7KPSITGJV:00000001, previousRequestId: No PreviousRequestId, message: '/api/auth/{everything} route does not require user to be authorized'
2026-06-11 16:14:58.172 +05:30 [DBG] ApiGateway | requestId: 0HNM7KPSITGJV:00000001, previousRequestId: No PreviousRequestId, message: 'Downstream url is http://localhost:5001/api/auth/login'
2026-06-11 16:14:58.900 +05:30 [DBG] ApiGateway | requestId: 0HNM7KPSITGK0:00000001, previousRequestId: No PreviousRequestId, message: 'ocelot pipeline started'
2026-06-11 16:14:58.903 +05:30 [DBG] ApiGateway | requestId: 0HNM7KPSITGK0:00000001, previousRequestId: No PreviousRequestId, message: 'Upstream url path is /api/Auth/login'
2026-06-11 16:14:58.905 +05:30 [DBG] ApiGateway | requestId: 0HNM7KPSITGK0:00000001, previousRequestId: No PreviousRequestId, message: 'downstream templates are /api/auth/{everything}'
2026-06-11 16:14:58.907 +05:30 [INF] ApiGateway | requestId: 0HNM7KPSITGK0:00000001, previousRequestId: No PreviousRequestId, message: 'EndpointRateLimiting is not enabled for /api/auth/{everything}'
2026-06-11 16:14:58.909 +05:30 [INF] ApiGateway | requestId: 0HNM7KPSITGK0:00000001, previousRequestId: No PreviousRequestId, message: 'No authentication needed for path '/api/Auth/login'.'
2026-06-11 16:14:58.911 +05:30 [INF] ApiGateway | requestId: 0HNM7KPSITGK0:00000001, previousRequestId: No PreviousRequestId, message: '/api/auth/{everything} route does not require user to be authorized'
2026-06-11 16:14:58.912 +05:30 [DBG] ApiGateway | requestId: 0HNM7KPSITGK0:00000001, previousRequestId: No PreviousRequestId, message: 'Downstream url is http://localhost:5001/api/auth/login'
2026-06-11 16:14:59.241 +05:30 [DBG] ApiGateway | requestId: 0HNM7KPSITGK1:00000001, previousRequestId: No PreviousRequestId, message: 'ocelot pipeline started'
2026-06-11 16:14:59.243 +05:30 [DBG] ApiGateway | requestId: 0HNM7KPSITGK1:00000001, previousRequestId: No PreviousRequestId, message: 'Upstream url path is /api/Auth/login'
2026-06-11 16:14:59.245 +05:30 [DBG] ApiGateway | requestId: 0HNM7KPSITGK1:00000001, previousRequestId: No PreviousRequestId, message: 'downstream templates are /api/auth/{everything}'
2026-06-11 16:14:59.250 +05:30 [INF] ApiGateway | requestId: 0HNM7KPSITGK1:00000001, previousRequestId: No PreviousRequestId, message: 'EndpointRateLimiting is not enabled for /api/auth/{everything}'
2026-06-11 16:14:59.252 +05:30 [INF] ApiGateway | requestId: 0HNM7KPSITGK1:00000001, previousRequestId: No PreviousRequestId, message: 'No authentication needed for path '/api/Auth/login'.'
2026-06-11 16:14:59.254 +05:30 [INF] ApiGateway | requestId: 0HNM7KPSITGK1:00000001, previousRequestId: No PreviousRequestId, message: '/api/auth/{everything} route does not require user to be authorized'
